Level,TotalExpRaw,MaxAP,ProvideSkillSet,SkillPointGain,SkillPointTotal,WeaponPointGain,WeaponPointTotal,SpecialPointGain,SpecialPointTotal,IdentityPointGain,IdentityPointTotal,Confidence
1,0.0,15,0,0,0,0,0,0,0,0,0,CONFIRMÉ PAR LES GAMEDATA
2,1.976e-321,15,0,0,0,2,2,0,0,0,0,CONFIRMÉ PAR LES GAMEDATA
3,4.076e-321,15,0,0,0,0,2,2,2,0,0,CONFIRMÉ PAR LES GAMEDATA
4,6.413e-321,15,0,2,2,0,2,0,2,0,0,CONFIRMÉ PAR LES GAMEDATA
5,8.99e-321,15,0,0,2,2,4,0,2,0,0,CONFIRMÉ PAR LES GAMEDATA
6,1.1833e-320,15,0,0,2,0,4,2,4,0,0,CONFIRMÉ PAR LES GAMEDATA
7,1.4886e-320,15,0,2,4,0,4,0,4,0,0,CONFIRMÉ PAR LES GAMEDATA
8,1.8157e-320,15,0,0,4,2,6,0,4,0,0,CONFIRMÉ PAR LES GAMEDATA
9,2.1517e-320,15,0,0,4,0,6,2,6,0,0,CONFIRMÉ PAR LES GAMEDATA
10,2.4896e-320,15,0,2,6,0,6,0,6,0,0,CONFIRMÉ PAR LES GAMEDATA
11,2.8295e-320,15,0,0,6,2,8,0,6,0,0,CONFIRMÉ PAR LES GAMEDATA
12,3.171e-320,15,0,0,6,0,8,2,8,0,0,CONFIRMÉ PAR LES GAMEDATA
13,3.5143e-320,15,0,2,8,0,8,0,8,0,0,CONFIRMÉ PAR LES GAMEDATA
14,3.859e-320,15,0,0,8,2,10,0,8,0,0,CONFIRMÉ PAR LES GAMEDATA
15,4.206e-320,15,0,0,8,0,10,2,10,0,0,CONFIRMÉ PAR LES GAMEDATA
16,4.5543e-320,15,0,2,10,0,10,0,10,0,0,CONFIRMÉ PAR LES GAMEDATA
17,4.9036e-320,15,0,0,10,2,12,0,10,0,0,CONFIRMÉ PAR LES GAMEDATA
18,5.255e-320,15,0,0,10,0,12,2,12,0,0,CONFIRMÉ PAR LES GAMEDATA
19,5.611e-320,15,0,2,12,0,12,0,12,0,0,CONFIRMÉ PAR LES GAMEDATA
20,5.973e-320,15,0,0,12,2,14,0,12,0,0,CONFIRMÉ PAR LES GAMEDATA
21,6.339e-320,15,0,0,12,0,14,2,14,0,0,CONFIRMÉ PAR LES GAMEDATA
