Compétence,Nom rang,ID interne,SkillGroupID,BaseSkillInfoKey,Niveau,Rang,SkillType,TotalDamage,DamAttCoeff,DamArmCoeff,DamMHPCoeff,Cooldown,Coût MP,Gain MP,Buff IDs,Buffs appliqués,Description localisée,Coût d'amélioration explicite,Delta TotalDamage,Variation TotalDamage %,Delta DamAttCoeff,Variation DamAttCoeff %,Delta DamArmCoeff,Variation DamArmCoeff %,Delta DamMHPCoeff,Variation DamMHPCoeff %,Delta Cooldown,Variation Cooldown %,Delta MPCon,Variation MPCon %,Delta MPGain,Variation MPGain %,Gain réel par rapport au rang précédent
Tueur de marcheurs blancs,Tueur de marcheurs blancs I,1001606000001,1001606000000,1001606000001,1,1,NormalSkill,0,2.2899999618530273,0.0,0.0,22.0,183,0,,,"Jinwoo lance sa dague, se téléporte jusqu'à l'ennemi touché, puis effectue une puissante entaille.",,,,,,,,,,,,,,,,
Tueur de marcheurs blancs,Tueur de marcheurs blancs II,1001606000101,1001606000100,1001606000101,1,2,NormalSkill,0,2.2899999618530273,0.0,0.0,22.0,183,0,"200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007","200020003001 | states EnhanceBackDamage(621,750,0) || 200020003002 | states EnhanceBackDamage(622,750,0) || 200020003003 | states EnhanceBackDamage(623,750,0) || 200020003004 | states EnhanceBackDamage(624,750,0) || 200020003005 | states EnhanceBackDamage(606,750,0) || 200020003006 | states EnhanceBackDamage(162,750,0) || 200020003007 | states EnhanceBackDamage(163,750,0)",Les dégâts infligés par Jinwoo augmentent lorsqu'il attaque un ennemi par-derrière avec le Surin de Baruka.,,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Tueur de marcheurs blancs,Tueur de marcheurs blancs III,1001606000201,1001606000200,1001606000201,1,3,NormalSkill,0,2.380000114440918,0.0,0.0,22.0,183,0,"200020003008,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007","200020003008 | states ForceBackAttack(606,0,0) || 200020003001 | states EnhanceBackDamage(621,750,0) || 200020003002 | states EnhanceBackDamage(622,750,0) || 200020003003 | states EnhanceBackDamage(623,750,0) || 200020003004 | states EnhanceBackDamage(624,750,0) || 200020003005 | states EnhanceBackDamage(606,750,0) || 200020003006 | states EnhanceBackDamage(162,750,0) || 200020003007 | states EnhanceBackDamage(163,750,0)","Les dégâts infligés par Jinwoo augmentent lorsqu'il attaque un ennemi par-derrière avec le Surin de Baruka.\nLorsque la dague touche la cible, <color=#FAC800>[Tueur de marcheurs blancs]</color> inflige une attaque dans le dos de façon garantie.",,0,,0.0900002,3.93014,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.0900002 (3.93014%); buffs modifiés
Tueur de marcheurs blancs,Tueur de marcheurs blancs IV,1001606000301,1001606000300,1001606000301,1,4,NormalSkill,0,2.380000114440918,0.0,0.0,22.0,183,0,"200020003008,200020003010,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007,200020003009","200020003008 | states ForceBackAttack(606,0,0) || 200020003010 || 200020003001 | states EnhanceBackDamage(621,750,0) || 200020003002 | states EnhanceBackDamage(622,750,0) || 200020003003 | states EnhanceBackDamage(623,750,0) || 200020003004 | states EnhanceBackDamage(624,750,0) || 200020003005 | states EnhanceBackDamage(606,750,0) || 200020003006 | states EnhanceBackDamage(162,750,0) || 200020003007 | states EnhanceBackDamage(163,750,0) || 200020003009 | states IncreaseDamageByTargetBuff(606,200020003010,1000)","Les dégâts infligés par Jinwoo augmentent lorsqu'il attaque un ennemi par-derrière avec le Surin de Baruka.\nLorsque la dague touche la cible, <color=#FAC800>[Tueur de marcheurs blancs]</color> inflige une attaque dans le dos de façon garantie.\nLes dégâts infligés aux cibles affectées par <color=#FAC800>[Tueur de marcheurs blancs]</color> infligé avec la dague augmentent.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Tueur de marcheurs blancs,Tueur de marcheurs blancs V,1001606000401,1001606000400,1001606000401,1,5,NormalSkill,0,2.5899999141693115,0.0,0.0,22.0,183,0,"200020003008,200020003010,200020003013,200020003012,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007,200020003009,200020003011","200020003008 | states ForceBackAttack(606,0,0) || 200020003010 || 200020003013 | states IncreaseHitCriRate(1000,606,0), IncreaseHitCriDam(1000,606,0) || 200020003012 | states StatIncrease(2,10,0) || 200020003001 | states EnhanceBackDamage(621,750,0) || 200020003002 | states EnhanceBackDamage(622,750,0) || 200020003003 | states EnhanceBackDamage(623,750,0) || 200020003004 | states EnhanceBackDamage(624,750,0) || 200020003005 | states EnhanceBackDamage(606,750,0) || 200020003006 | states EnhanceBackDamage(162,750,0) || 200020003007 | states EnhanceBackDamage(163,750,0) || 200020003009 | states IncreaseDamageByTargetBuff(606,200020003010,1000) || 200020003011","Les dégâts infligés par Jinwoo augmentent lorsqu'il attaque un ennemi par-derrière avec le Surin de Baruka.\nLorsque la dague touche la cible, <color=#FAC800>[Tueur de marcheurs blancs]</color> inflige une attaque dans le dos de façon garantie.\nLes dégâts infligés aux cibles affectées par <color=#FAC800>[Tueur de marcheurs blancs]</color> infligé avec la dague augmentent.\nL'effet <color=#64FAC8>[Vivacité]</color> se déclenche quand la dague touche sa cible.\n\n<color=#64FAC8>[Vivacité]</color>\nAugmente l'Agilité de Jinwoo de <color=#FFDF7D>10</color> points.\nAvec agilité, Jinwoo cible rapidement et précisément les points faibles de l'ennemi. <color=#FAC800>[Tueur de marcheurs blancs] inflige des dégâts aux cibles touchées par la dague avec un Taux de coup critique légèrement augmenté, ainsi que des Dégâts de coup critique augmentés</color>.",,0,,0.21,8.82352,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.21 (8.82352%); buffs modifiés
Vague de dragon naga,Vague de dragon naga I,1001627000001,1001627000000,1001627000001,1,1,NormalSkill,0,3.569999933242798,0.0,0.0,29.0,241,0,1420000021,"1420000021 | stats PrecisionP=1200, DamP=-800",Jinwoo fait tournoyer sa lance pour invoquer une vague en forme de dragon qui s'élève avant de s'abattre pour infliger des dégâts.,,,,,,,,,,,,,,,,
Vague de dragon naga,Vague de dragon naga II,1001627000101,1001627000100,1001627000101,1,2,NormalSkill,0,3.940000057220459,0.0,0.0,29.0,241,0,"200020002015,1420000021,200020002001","200020002015 | states ReactionImmune(16,0,0) || 1420000021 | stats PrecisionP=1200, DamP=-800 || 200020002001",L'utilisation de cette compétence augmente temporairement l'<color=#64FAC8>[Attaque]</color> de Jinwoo et lui confère <color=#64FAC8>[Super armure]</color>.,,0,,0.37,10.3641,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.37 (10.3641%); buffs modifiés
Vague de dragon naga,Vague de dragon naga III,1001627000201,1001627000200,1001627000201,1,3,NormalSkill,0,3.940000057220459,0.0,0.0,29.0,241,0,"200020002015,1420000021,200020002001","200020002015 | states ReactionImmune(16,0,0) || 1420000021 | stats PrecisionP=1200, DamP=-800 || 200020002001","L'utilisation de cette compétence augmente temporairement l'<color=#64FAC8>[Attaque]</color> de Jinwoo, et lui confère <color=#64FAC8>[Super armure]</color>.\nLe nombre de coups de lance et de piliers d'eau augmente.",,0,,0,0,0,,0,,0,0,0,0,0,,
Vague de dragon naga,Vague de dragon naga IV,1001627000301,1001627000300,1001627000301,1,4,NormalSkill,0,3.940000057220459,0.0,0.0,29.0,241,0,"200020002015,1420000021,200020002001,200020002003,200020002005","200020002015 | states ReactionImmune(16,0,0) || 1420000021 | stats PrecisionP=1200, DamP=-800 || 200020002001 || 200020002003 || 200020002005","L'utilisation de cette compétence augmente temporairement l'<color=#64FAC8>[Attaque]</color> et le <color=#64FAC8>[Taux de récupération des PM]</color> de Jinwoo. Il obtient <color=#64FAC8>[Super armure]</color> pendant son exécution, et le nombre de coups de lance et de piliers d'eau augmente.\nLorsqu'il attaque avec cette compétence, a des chances d'augmenter les <color=#64FAC8>dégâts élémentaires</color> <color=#b0c6db>(cumulable jusqu'à 6 fois)</color>.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Vague de dragon naga,Vague de dragon naga V,1001627000401,1001627000400,1001627000401,1,5,NormalSkill,0,3.940000057220459,0.0,0.0,29.0,241,0,"200020002011,200020002015,1420000021,200020002001,200020002003,200020002005","200020002011 || 200020002015 | states ReactionImmune(16,0,0) || 1420000021 | stats PrecisionP=1200, DamP=-800 || 200020002001 || 200020002003 || 200020002005","L'utilisation de cette compétence augmente temporairement l'<color=#64FAC8>[Attaque]</color> et le <color=#64FAC8>[Taux de récupération des PM]</color> de Jinwoo. Il obtient <color=#64FAC8>[Super armure]</color> pendant son exécution, et le nombre de coups de lance et de piliers d'eau augmente.\nLorsqu'il attaque avec cette compétence, a des chances d'augmenter les <color=#64FAC8>dégâts élémentaires</color> <color=#b0c6db>(cumulable jusqu'à 6 fois)</color>.\nUn pilier d'eau est créé dans la portée du trident lorsque les ennemis sont touchés <color=#FFDF7D>5 fois</color>.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
