transition,skill,from_rank,to_rank,from_id,to_id,from_skill_group,to_skill_group,direct_gain,new_effects,removed_effects,source_buff_ids_before,source_buff_ids_after
Tueur de marcheurs blancs I → II,Tueur de marcheurs blancs,1,2,1001606000001,1001606000101,1001606000000,1001606000100,"- 0 % dégâts directs explicites | - EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 621) | - EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 622) | - EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 606) | - EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 162) | - EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 624) | - EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 623) | - EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 163)","EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 621) || EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 622) || EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 606) || EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 162) || EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 624) || EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 623) || EnhanceBackDamage: +7.5% attaque de dos (FORTEMENT PROBABLE; bonus interne 750, hit/skill 163)",,,"200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007"
Tueur de marcheurs blancs II → III,Tueur de marcheurs blancs,2,3,1001606000101,1001606000201,1001606000100,1001606000200,- ATK coeff: +0.0900002 (+3.93%) | - attaque de dos garantie pour référence 606 (CONFIRMÉ par description si présente),attaque de dos garantie pour référence 606 (CONFIRMÉ par description si présente),,"200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007","200020003008,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007"
Tueur de marcheurs blancs III → IV,Tueur de marcheurs blancs,3,4,1001606000201,1001606000301,1001606000200,1001606000300,"- 0 % dégâts directs explicites | - IncreaseDamageByTargetBuff: +10% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 1000, cible 606/200020003010 )","IncreaseDamageByTargetBuff: +10% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 1000, cible 606/200020003010 )",,"200020003008,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007","200020003008,200020003010,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007,200020003009"
Tueur de marcheurs blancs IV → V,Tueur de marcheurs blancs,4,5,1001606000301,1001606000401,1001606000300,1001606000400,"- ATK coeff: +0.21 (+8.82%) | - StatIncrease: paramètres internes 2, 10, 0 | - IncreaseHitCriRate: +10% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1000) | - IncreaseHitCriDam: +10% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1000)","StatIncrease: paramètres internes 2, 10, 0 || IncreaseHitCriRate: +10% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1000) || IncreaseHitCriDam: +10% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1000)",,"200020003008,200020003010,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007,200020003009","200020003008,200020003010,200020003013,200020003012,200020003001,200020003002,200020003003,200020003004,200020003005,200020003006,200020003007,200020003009,200020003011"
Vague de dragon naga I → II,Vague de dragon naga,1,2,1001627000001,1001627000101,1001627000000,1001627000100,- ATK coeff: +0.37 (+10.4%) | - Super armure / immunité aux réactions (CONFIRMÉ par description),Super armure / immunité aux réactions (CONFIRMÉ par description),,1420000021,"200020002015,1420000021,200020002001"
Vague de dragon naga II → III,Vague de dragon naga,2,3,1001627000101,1001627000201,1001627000100,1001627000200,- 0 % dégâts directs explicites,,,"200020002015,1420000021,200020002001","200020002015,1420000021,200020002001"
Vague de dragon naga III → IV,Vague de dragon naga,3,4,1001627000201,1001627000301,1001627000200,1001627000300,- 0 % dégâts directs explicites,,,"200020002015,1420000021,200020002001","200020002015,1420000021,200020002001,200020002003,200020002005"
Vague de dragon naga IV → V,Vague de dragon naga,4,5,1001627000301,1001627000401,1001627000300,1001627000400,- 0 % dégâts directs explicites,,,"200020002015,1420000021,200020002001,200020002003,200020002005","200020002011,200020002015,1420000021,200020002001,200020002003,200020002005"
Entaille ardente I → II,Entaille ardente,1,2,1001648000001,1001648000101,1001648000000,1001648000100,- 0 % dégâts directs explicites | - DamReduP: 30% (FORTEMENT PROBABLE; valeur interne 3000) | - Super armure / immunité aux réactions (CONFIRMÉ par description),DamReduP: 30% (FORTEMENT PROBABLE; valeur interne 3000) || Super armure / immunité aux réactions (CONFIRMÉ par description),,,200010005000
Entaille ardente II → III,Entaille ardente,2,3,1001648000101,1001648000201,1001648000100,1001648000200,- ATK coeff: +0.25 (+6.91%),,,200010005000,200010005000
