TalentFamily,TalentName,NodeID,ProgressionDepth,VisualRow,Rank,Cost,RequiredPathCost,EffectType,RawValue,DisplayedValue,MarginalGain,GainPerPoint,ParentNodeID,BuffID,PatternType,Confidence
SJWSkillTree / Assassin / Attaque sournoise / Attaque / Attaque augmentée,Attaque augmentée,111601,5,6,1,3 SkillPoint,23,AttFR,80,0.8%,0.8%,0.2667,111501,90000004,NON DÉTERMINÉ,FORTEMENT PROBABLE
SJWSkillTree / Assassin / Frappe vitale / EnhanceBackDamage / Attaque dans le dos II,Attaque dans le dos II,112502,4,5,1,5 SkillPoint,20,EnhanceBackDamage,320,320,320,NON DÉTERMINÉ,"112401,112303",90000015,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
SJWSkillTree / Duelliste / Frappe enragée / PeriodGiveBuff / Overdrive,Overdrive,113100,0,1,1,1 IdentityPoint,0,PeriodGiveBuff,92000201,92000201,92000201,NON DÉTERMINÉ,,92000003,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; prérequis MainQuestChapter:10301
SJWSkillTree / Duelliste / Frappe enragée / EnhanceSkillDamage / Overdrive,Overdrive,113100,0,1,1,1 IdentityPoint,0,EnhanceSkillDamage,20000,20000,20000,NON DÉTERMINÉ,,92000003,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; prérequis MainQuestChapter:10301
SJWSkillTree / Duelliste / Frappe enragée / SkillChange / Ombre vive : Contre-attaque,Ombre vive : Contre-attaque,113202,1,2,1,4 SkillPoint,2,SkillChange,1001204300000,1001204300000,1001204300000,NON DÉTERMINÉ,113101,90000034,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
SJWSkillTree / Duelliste / Frappe enragée / BreakModifier / Déséquilibre augmenté,Déséquilibre augmenté,113303,2,3,1,4 SkillPoint,6,BreakModifier,320,320,320,NON DÉTERMINÉ,113202,90000030,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
SJWSkillTree / Duelliste / Frappe enragée / Défense / Défense augmentée,Défense augmentée,113401,3,4,1,3 SkillPoint,14,ArmFR,640,6.4%,6.4%,2.1333,113302,90000031,NON DÉTERMINÉ,FORTEMENT PROBABLE
SJWSkillTree / Duelliste / Coup unique / BreakModifier / Déséquilibre augmenté\n[Effet passif spécial],Déséquilibre augmenté\n[Effet passif spécial],114401,3,4,1,5 SkillPoint,14,BreakModifier,160,160,160,NON DÉTERMINÉ,114301,90000044,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
SJWSkillTree / Duelliste / Coup unique / PV / Augmentation des PV,Augmentation des PV,114501,4,5,1,3 SkillPoint,19,IncreaseMHP,640,6.4%,6.4%,2.1333,114401,90000039,NON DÉTERMINÉ,FORTEMENT PROBABLE
SJWSkillTree / Magicien élémentaire / Glace / ElementCumulativeDam / Augmentation des dégâts de chaîne,Augmentation des dégâts de chaîne,115201,1,2,1,4 SkillPoint,2,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,115101,90000063,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
